Nodes	Delivery	Hops	DataPktSent	RoutingPktSent	NodesInvolved	BytesOverhead	BytesOverheadPerDataHop	DataMemory
50	0.99	8.50	8.50	0.00	8.15	0.00	0.00	218.31
75	0.97	13.32	13.32	0.00	12.19	0.00	0.00	465.34
100	0.92	16.92	16.92	0.00	15.31	0.00	0.00	654.22
125	0.90	18.88	18.88	0.00	17.08	0.00	0.00	817.47
150	0.94	16.14	16.14	0.00	15.12	0.00	0.00	616.27
175	0.96	14.65	14.65	0.00	14.08	0.00	0.00	489.71
200	0.99	12.66	12.66	0.00	12.57	0.00	0.00	284.15
225	1.00	12.31	12.31	0.00	12.23	0.00	0.00	280.04
250	1.00	11.57	11.57	0.00	11.56	0.00	0.00	232.26
275	1.00	11.44	11.44	0.00	11.43	0.00	0.00	229.28
300	1.00	11.16	11.16	0.00	11.16	0.00	0.00	223.16
